Bean type
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Criollo
Trinitario
Criollo
Criollo
Trinitario
Trinitario
Criollo
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Criollo
Trinitario
Trinitario
Trinitario
Trinitario
Forastero (Arriba)
Forastero (Arriba)
Criollo
Trinitario
Criollo
Forastero
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Forastero (Nacional)
"Criollo, Trinitario"
Trinitario
Forastero
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Criollo
Forastero
Trinitario
Trinitario
Forastero
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Criollo (Porcelana)
Blend
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario (85% Criollo)
Trinitario (85% Criollo)
Trinitario
Blend
Blend
Blend
Forastero (Catongo)
Forastero (Parazinho)
Forastero (Parazinho)
Forastero (Parazinho)
Forastero (Parazinho)
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Forastero (Nacional)
Trinitario
Trinitario
Trinitario
Trinitario
Forastero (Nacional)
Forastero (Nacional)
Trinitario
Trinitario
"Criollo, Trinitario"
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
"Criollo, Trinitario"
Trinitario
Trinitario
"Criollo, Trinitario"
Criollo
Trinitario
Forastero
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Forastero (Arriba)
Trinitario
Trinitario
Trinitario
Trinitario
Blend
Trinitario
Trinitario
Trinitario
Forastero (Nacional)
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
"Criollo, Trinitario"
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Criollo
Criollo
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Criollo
Trinitario
Trinitario
Trinitario
Criollo (Porcelana)
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Forastero
Trinitario
Blend
Trinitario
Trinitario
Criollo
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Forastero
Trinitario
Trinitario
Trinitario
Trinitario
Forastero
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Forastero (Nacional)
Trinitario
Trinitario
Criollo
Trinitario
Trinitario
Trinitario
Criollo
Criollo
Criollo
Criollo (Porcelana)
Forastero (Arriba)
Trinitario
Trinitario
Criollo
Trinitario
Trinitario
Trinitario
Trinitario
Forastero (Arriba)
Forastero (Arriba)
Trinitario
Trinitario
Criollo
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Forastero
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Blend
Trinitario
Trinitario
Criollo
Trinitario
Trinitario
Trinitario
"Trinitario, Criollo"
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
Trinitario
